Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C2, C3, C4, C5, C6, C7, C8, C9",C_Disc_D7.0mm_W2.5mm_P5.00mm,16,C,
"C17, C18",C_Disc_D3.0mm_W1.6mm_P2.50mm,2,22p,
C19,CP_Radial_D5.0mm_P2.50mm,1,C,
"D1, D2, D3",LED_D3.0mm,3,LED,
"H1, H2, H3, H4",MountingHole_3mm_Pad,4,MountingHole_Pad,
J1,DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm,1,DB15_Female_HighDensity_MountingHoles,
"J2, J3",PinSocket_2x20_P2.54mm_Vertical,2,Conn_02x20_Odd_Even,
JP1,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper_3_Bridged12,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical,1,1M,
"R10, R8, R9",0603,3,R,
"R2, R3, R4",0603,3,200,
"R5, R6, R7",0603,3,470,
RN1,R_Array_SIP5,1,R_Network04,
SW1,SW_DIP_SPSTx03_Piano_10.8x9.18mm_W7.62mm_P2.54mm,1,SW_DIP_x03,
SW2,SW_DIP_SPSTx04_Piano_10.8x11.72mm_W7.62mm_P2.54mm,1,SW_DIP_x04,
"TP1, TP2, TP3",TestPoint_THTPad_D1.0mm_Drill0.5mm,3,TestPoint,
U1,DIP-14_W7.62mm,1,74HC04,
"U10, U9",DIP-16_W7.62mm,2,74LS195,
U11,DIP-32_W15.24mm,1,TC551001,
"U12, U7",DIP-32_W15.24mm,2,SST39SF010A,
"U13, U14, U15",DIP-20_W7.62mm,3,74HC244,
U16,DIP-20_W7.62mm,1,74LS245,
U2,DIP-14_W7.62mm,1,74HC74,
U3,DIP-14_W7.62mm,1,74HC02,
U4,DIP-14_W7.62mm,1,CD74HC08,
"U5, U8",DIP-16_W7.62mm,2,4040,
U6,DIP-20_W7.62mm,1,74HC273,
Y1,Crystal_HC18-U_Vertical,1,25M,
